model,batch_size,mig_slices,frequency,avg_power_draw,dynamic_power_draw,throughput,latency
densenet161,1,1,210,46.7863045113381,2.9958284762503764,16.442017099222433,60.91570854187012
densenet161,1,1,240,47.38724414216286,3.443804961034189,18.669794784097597,53.66110801696777
densenet161,1,1,330,48.66774566509034,4.297584882706921,25.19108284938136,39.812326431274414
densenet161,1,1,420,49.943286599150014,5.2232110104054215,31.42810126686849,31.89373016357422
densenet161,1,1,510,51.17280887230514,5.928544565218523,37.36852645048812,26.885032653808597
densenet161,1,1,600,52.370000288499185,6.823390260976266,43.04689795364271,23.362398147583008
densenet161,1,1,690,53.56562560040643,7.804703192029601,48.45426625053607,20.69091796875
densenet161,1,1,780,54.74416950119258,8.058399310716391,53.54240885140104,18.82195472717285
densenet161,1,1,870,55.76118850587672,8.643241554122326,58.0679110875482,17.363548278808594
densenet161,1,1,960,57.473032075251226,9.711312197700217,63.52170538298272,15.846729278564451
densenet161,1,1,1050,59.56235544044744,10.00359218064353,69.55988599251201,14.538049697875977
densenet161,1,1,1140,63.26429097992209,10.686131313255437,74.61788257115018,13.551473617553713
densenet161,1,1,1230,70.62347831735666,13.341575584023346,80.158328323785,12.58254051208496
densenet161,1,1,1320,78.85681551648028,14.956347411217145,85.59534604774325,12.251138687133787
densenet161,1,1,1410,91.61008550901025,18.17654872001941,90.84108641673036,12.27426528930664
densenet161,1,2,210,47.94002309928711,4.149547064199385,26.4209383704134,37.95671463012695
densenet161,1,2,240,48.546241152275776,4.602801971147109,29.93037553558845,33.51092338562012
densenet161,1,2,330,50.235716220319425,5.86555543793601,40.09547357618418,25.062084197998047
densenet161,1,2,420,51.82636994291696,7.10629435417237,49.6598415981026,20.2786922454834
densenet161,1,2,510,53.37930012248678,8.135035815400165,58.65302605982521,17.19808578491211
densenet161,1,2,600,54.87064604019113,9.324036012668214,67.13956815988757,15.027999877929688
densenet161,1,2,690,56.32115013049892,10.560227722122095,75.20782365750092,13.908624649047852
densenet161,1,2,780,57.69327231492655,11.007502124450363,82.78269046284147,13.270378112792969
densenet161,1,2,870,59.27201110116383,12.154064149409436,90.3653091754658,13.481616973876951
densenet161,1,2,960,59.8490684989789,12.087348621427893,89.77438092679333,12.69221305847168
densenet161,1,2,1050,61.67141497526863,12.112651715464722,94.01170613739852,14.106273651123049
densenet161,1,2,1140,64.51045025331005,11.932290586643404,93.66085177542116,13.087749481201172
densenet161,1,2,1230,71.00914117111148,13.727238437778169,93.68333475419104,13.572931289672852
densenet161,1,2,1320,77.96311166973227,14.062643564469134,91.96763060428503,11.710166931152344
densenet161,1,2,1410,89.75126469196182,16.317727902970987,92.07019048559658,11.745929718017578
densenet161,1,3,210,48.800930194885694,5.010454159797969,32.738262672271844,30.60698509216309
densenet161,1,3,240,49.496300695639164,5.5528615145104965,37.05366541389742,27.09484100341797
densenet161,1,3,330,51.41704948796977,7.046888705586355,49.364124410877785,20.40934562683105
densenet161,1,3,420,53.19795343182518,8.477877843080584,60.78222723168275,16.619205474853516
densenet161,1,3,510,54.93295605795835,9.688691750871733,71.56188587564522,14.172792434692385
densenet161,1,3,600,56.6466311012089,11.100021073685978,81.61325895722273,12.37344741821289
