model,batch_size,mig_slices,frequency,avg_power_draw,dynamic_power_draw,throughput,latency
resnet152,1,1,210,48.8102497489496,5.019773713861876,16.683979568909514,60.12725830078125
resnet152,1,1,240,49.261644177178056,5.3182049960493885,18.968931031500272,52.902936935424805
resnet152,1,1,330,50.857109416940055,6.48694863455664,25.674105789723004,39.11352157592773
resnet152,1,1,420,52.33064976179022,7.610574173045627,32.143712820417775,31.246662139892575
resnet152,1,1,510,53.78785034189137,8.543586034804754,38.364816344397575,26.160717010498047
resnet152,1,1,600,55.26601914875286,9.719409121229942,44.315633145583696,22.686004638671875
resnet152,1,1,690,56.63573422640599,10.87481181802916,50.01949763357872,20.10416984558105
resnet152,1,1,780,57.842920245726496,11.157150055250307,55.50180195129332,18.105506896972656
resnet152,1,1,870,59.14958430581147,12.031637354057082,60.384810914196265,16.669511795043945
resnet152,1,1,960,61.01578301363104,13.254063136080028,66.04618157254116,15.209436416625977
resnet152,1,1,1050,63.341552953925984,13.782789694122073,72.15044912970976,13.918638229370115
resnet152,1,1,1140,68.00499524580563,15.42683557913898,77.02091579173472,13.138532638549805
resnet152,1,1,1230,76.13682011626237,18.85491738292906,82.44710552097524,12.231826782226562
resnet152,1,1,1320,86.33543702861475,22.43496892335161,87.85186158965497,11.458396911621094
resnet152,1,1,1410,101.10363538449356,27.670098595502722,93.35114135098917,11.102914810180664
resnet152,1,2,210,50.657882041937576,6.86740600684985,27.42683722002611,36.59534454345703
resnet152,1,2,240,51.39972142958491,7.45628224845624,31.124559351473263,32.21535682678223
resnet152,1,2,330,53.56400204335278,9.193841260969364,41.77920241903214,23.999452590942383
resnet152,1,2,420,55.53401164563617,10.813936056891578,51.866645213601615,19.384145736694336
resnet152,1,2,510,57.45754311812974,12.213278811043125,61.46491347313744,16.346454620361328
resnet152,1,2,600,59.424628030772595,13.878018003249677,70.58909814562745,14.2974853515625
resnet152,1,2,690,61.18403704,15.423114631623173,79.14763959090229,12.75014877319336
resnet152,1,2,780,62.667740583720104,15.981970393243914,87.18554194243076,12.024164199829102
resnet152,1,2,870,64.16216729350852,17.044220341754126,94.08829471529548,11.203527450561523
resnet152,1,2,960,66.79572084169368,19.03400096414267,102.98742318949486,9.886503219604492
resnet152,1,2,1050,70.20105855201741,20.642295292213504,112.6226008804983,10.41269302368164
resnet152,1,2,1140,75.00015796324257,22.42199829657592,116.62955240968115,9.43922996520996
resnet152,1,2,1230,82.30991728509585,25.02801455176254,114.41495242558364,9.547948837280272
resnet152,1,2,1320,90.21558964574847,26.31512154048533,116.31224926547304,11.856317520141602
resnet152,1,2,1410,106.64641242062878,33.21287563163794,116.97541272904655,9.169340133666992
resnet152,1,3,210,51.51510436139803,7.724628326310305,34.77450435992135,28.83291244506836
resnet152,1,3,240,52.34651069067519,8.403071509546521,39.39195243906809,25.49099922180176
resnet152,1,3,330,54.90486899703359,10.534708214650173,52.75182009955899,19.06371116638184
resnet152,1,3,420,57.31049561952441,12.590420030779818,65.236227253014,15.39301872253418
resnet152,1,3,510,59.44255593553459,14.198291628447976,77.14254990612478,13.022184371948242
resnet152,1,3,600,60.28541106491582,14.738801037392902,79.83025936706244,16.86573028564453
resnet152,1,3,690,63.36325525158769,17.60233284321086,96.17285429181122,14.297246932983398
resnet152,1,3,780,65.75810273031918,19.07233253984299,108.86603304816666,9.417295455932615
resnet152,1,3,870,66.58518224057822,19.46723528882383,112.26414651692927,9.941577911376951
resnet152,1,3,960,67.82404943260448,20.062329555053473,114.48674120851072,9.676694869995115
resnet152,1,3,1050,69.09457472962279,19.53581146981888,114.867265151943,11.657238006591797
resnet152,1,3,1140,73.24534508167156,20.66718541500491,113.72529181566712,9.34767723083496
resnet152,1,3,1230,80.9324039670273,23.650501233693987,114.48295382978634,11.43503189086914
resnet152,1,3,1320,89.74531190916005,25.844843803896914,119.23280643065692,9.724855422973633
resnet152,1,3,1410,105.36232523595854,31.9287884469677,116.27212087430026,9.372711181640623
resnet152,1,4,210,52.81482346995606,9.024347434868336,40.51885050077336,24.76811408996582
resnet152,1,4,240,53.773842890809114,9.830403709680446,45.862443228844775,21.91329002380371
resnet152,1,4,330,56.674097788591844,12.303937006208429,61.02650158893694,16.51906967163086
resnet152,1,4,420,59.31112295330504,14.591047364560445,75.19292846597767,13.447761535644531
resnet152,1,4,510,61.96919334164145,16.724929034554833,88.21022524834834,12.810945510864258
resnet152,1,4,600,64.23027484567902,18.683664818156103,100.71129302831596,10.35618782043457
resnet152,1,4,690,66.37301578495854,20.61209337658171,111.48594368671284,10.738849639892578
resnet152,1,4,780,67.02368004810445,20.33790985762826,113.30099493403245,9.24086570739746
resnet152,1,4,870,67.55077602759414,20.43282907583975,114.26753041554834,9.201526641845703
