model,batch_size,mig_slices,frequency,avg_power_draw,dynamic_power_draw,throughput,latency
vgg11,1,1,210,49.59500004708874,5.804524012001013,47.418857601331865,21.232128143310547
vgg11,1,1,240,50.590817937340326,6.647378756211658,54.060516962870445,18.643856048583984
vgg11,1,1,330,53.21459278259953,8.844432000216116,73.68249597867046,13.665437698364258
vgg11,1,1,420,55.551978437138025,10.831902848393433,92.28993838626567,10.978221893310549
vgg11,1,1,510,57.760141605456454,12.515877298369837,108.20109051983724,9.393930435180664
vgg11,1,1,600,59.621063158510886,14.074453130987967,121.56876646741216,8.38327407836914
vgg11,1,1,690,61.4847071748007,15.72378476642387,133.0894518442489,7.675409317016602
vgg11,1,1,780,63.13240657055725,16.44663638008106,143.28244610227785,7.120847702026367
vgg11,1,1,870,64.67142932286265,17.55348237110826,152.24923399801975,6.735086441040039
vgg11,1,1,960,66.35166946383484,18.58994958628383,160.96641096884554,6.368160247802734
vgg11,1,1,1050,68.49964473385326,18.94088147404935,168.99764336893224,6.020307540893555
vgg11,1,1,1140,72.75201512104883,20.173855454382178,176.0066597368543,5.809307098388672
vgg11,1,1,1230,80.49504688756635,23.213144154233035,182.76470754420757,5.571603775024414
vgg11,1,1,1320,89.96893588912303,26.068467783859894,188.7154979823933,5.506038665771484
vgg11,1,1,1410,103.79948500780417,30.36594821881333,194.06062709528587,5.308866500854492
vgg11,1,2,210,54.1832868793041,10.392810844216374,89.82057448829596,11.298418045043944
vgg11,1,2,240,55.71386855112759,11.770429369998922,102.28238823859444,9.922027587890623
vgg11,1,2,330,60.04136568817502,15.671204905791605,139.02315499651843,7.35783576965332
vgg11,1,2,420,63.773843317568755,19.053767728824162,173.3244804305296,5.937814712524414
vgg11,1,2,510,67.1314225919254,21.887158284838783,202.4646000025724,5.109310150146484
vgg11,1,2,600,70.21426475468121,24.667654727158293,227.4720541088701,4.571676254272461
vgg11,1,2,690,73.06289948869752,27.301977080320697,249.369773834887,4.167079925537109
vgg11,1,2,780,75.42493300918423,28.73916281870804,268.5919613127534,3.90005111694336
vgg11,1,2,870,77.92989557549504,30.811948623740648,285.9681300232978,3.654956817626953
vgg11,1,2,960,80.68275171660424,32.921031839053235,302.6733293414957,3.4627914428710938
vgg11,1,2,1050,83.65090196998123,34.09213871017732,318.58198059865464,3.300905227661133
vgg11,1,2,1140,90.1923724601438,37.61421279347715,332.2944826183484,3.187894821166992
