model,batch_size,mig_slices,frequency,avg_power_draw,dynamic_power_draw,throughput,latency
vgg19,2,2,210,52.90362956909361,9.113153534005884,57.81132534299353,34.811973571777344
vgg19,2,2,240,54.26589014722537,10.322450966096705,65.8549053374223,30.61795234680176
vgg19,2,2,330,58.35590007087172,13.985739288488304,89.74117762294969,22.40753173828125
vgg19,2,2,420,62.06479482009925,17.34471923135466,112.8327764927824,17.9598331451416
vgg19,2,2,510,65.69944326694684,20.455178959860227,135.05466826184272,15.015363693237305
vgg19,2,2,600,69.02260756218905,23.47599753466613,155.50797603969664,12.996912002563477
vgg19,2,2,690,72.10962650871703,26.3487041003402,174.14197930295714,11.661291122436523
vgg19,2,2,780,74.88199059334298,28.196220402866786,190.67762639563557,10.695219039916992
vgg19,2,2,870,77.45541014492753,30.337463193173136,205.39862089156705,9.918689727783203
vgg19,2,2,960,80.924146948221,33.162427070669985,221.2695954095268,9.188413619995115
vgg19,2,2,1050,84.2184805307182,34.659717270914285,235.62098014271012,8.624553680419922
vgg19,2,2,1140,90.75554612437372,38.17738645770706,250.16515615822397,8.188724517822266
vgg19,2,2,1230,100.79208839941263,43.51018566607932,264.1622137594936,7.697582244873047
vgg19,2,2,1320,114.57226572999387,50.67179762473075,276.4128252219164,7.436990737915039
vgg19,2,2,1410,135.60374676349858,62.17020997450774,289.31318164294333,7.042646408081055
vgg19,2,3,210,56.51737763422641,12.726901599138689,82.12729864536517,24.4903564453125
vgg19,2,3,240,58.33088432394033,14.387445142811664,93.6469633971794,21.50893211364746
vgg19,2,3,330,63.71577082322497,19.34561004084156,127.69052932975718,15.78664779663086
vgg19,2,3,420,68.84946090073942,24.129385311994824,161.13363471923827,12.469768524169922
vgg19,2,3,510,73.79744861178762,28.553184304701,193.7662681893548,10.478734970092772
vgg19,2,3,600,78.44050043744531,32.89389040992239,225.53594006792608,9.028911590576172
vgg19,2,3,690,83.18437850016092,37.42345609178409,255.9533268702276,7.889986038208008
vgg19,2,3,780,87.54423718470302,40.85846699422683,284.73282728411715,7.183313369750977
vgg19,2,3,870,91.92959406745226,44.811647115697866,311.2782937671717,6.588459014892578
vgg19,2,3,960,96.920008692053,49.15828881450198,338.8837893026004,6.082534790039063
vgg19,2,3,1050,101.90651812816188,52.34775486835798,366.3251097094315,5.640506744384766
vgg19,2,3,1140,110.07216599552572,57.49400632885907,390.9380983810543,5.272626876831055
vgg19,2,3,1230,125.2108468301712,67.9289440968379,416.95492298642,4.960536956787109
vgg19,2,3,1320,145.07232679097154,81.1718586857084,440.64711808886057,4.708051681518555
vgg19,2,3,1410,173.4914726342711,100.05793584528028,464.7422332924451,4.398584365844727
vgg19,2,4,210,59.92846524136076,16.137989206273037,106.05307500256998,18.96214485168457
vgg19,2,4,240,62.19882417752949,18.25538499640082,120.9014254445488,16.67022705078125
vgg19,2,4,330,68.74932417950436,24.37916339712094,164.76047283633713,12.268543243408203
vgg19,2,4,420,75.11110196418255,30.39102637543796,207.24479668867176,9.717226028442385
vgg19,2,4,510,81.03072482801751,35.786460520930895,248.21932446376044,8.232593536376953
vgg19,2,4,600,86.77629707792208,41.22968705039917,286.7966918580507,7.088899612426758
vgg19,2,4,690,92.15060294719606,46.38968053881924,323.1663600651575,6.347179412841797
vgg19,2,4,780,97.20534646374216,50.51957627326598,356.0776101665524,5.787849426269531
vgg19,2,4,870,101.5010347658136,54.38308781405922,384.02167651652303,5.38325309753418
vgg19,2,4,960,106.68966800804829,58.92794813049728,416.0775328192212,4.985570907592773
vgg19,2,4,1050,112.28999449415002,62.73123123434611,447.854642514718,4.5795440673828125
vgg19,2,4,1140,121.76462732919256,69.1864676625259,473.1761082562908,4.392862319946289
vgg19,2,4,1230,136.76223231622745,79.48032958289414,501.2772141141736,4.162311553955078
vgg19,2,4,1320,161.33572785714287,97.43525975187973,529.4278593773516,3.9680004119873047
vgg19,2,4,1410,190.0920189873418,116.65848219835097,555.5959443177303,3.7386417388916016
vgg19,2,7,210,68.53139747918073,24.740921444093,161.2745309118331,12.479305267333984
vgg19,2,7,240,71.76380609869645,27.82036691756778,183.09023916289735,11.089563369750977
vgg19,2,7,330,81.17660468018721,36.8064438978038,246.52858657372377,8.267641067504883
vgg19,2,7,420,90.00370400992145,45.28362842117686,305.68622814087826,6.708860397338867
vgg19,2,7,510,98.44261182401466,53.198347516928045,361.9708449258828,5.753040313720703
vgg19,2,7,600,105.73675668073138,60.19014665320846,413.8914561982809,4.998207092285156
vgg19,2,7,690,112.23798080877312,66.47705840039632,462.5186233922571,4.487276077270508
vgg19,2,7,780,118.91659317211948,72.23082298164331,507.43716920184886,4.140377044677734
vgg19,2,7,870,126.02150662944872,78.90355967769432,548.5899789037383,3.820180892944336
vgg19,2,7,960,133.77718735891648,86.01546748136548,598.024782758986,3.5142898559570312
vgg19,2,7,1050,140.79449636803872,91.2357331082348,641.9777481446232,3.272056579589844
vgg19,2,7,1140,156.54680481727576,103.9686451506091,686.9257966734009,3.079414367675781
vgg19,2,7,1230,179.58987796610168,122.30797523276836,734.3204769305668,2.9144287109375
vgg19,2,7,1320,211.03030933333332,147.1298412280702,780.9204283421639,2.7494430541992188
vgg19,2,7,1410,256.07760075685906,182.64406396786825,827.0394699838129,2.634286880493164
vgg19,4,2,210,53.57193392011438,9.781457885026658,69.72207512507366,57.44504928588867
vgg19,4,2,240,54.96216668378351,11.01872750265484,79.53470110936466,50.35924911499024
vgg19,4,2,330,59.29486586040083,14.924705078017418,108.66253021411096,36.92626953125
vgg19,4,2,420,63.52871601920559,18.808640430461,137.2393599249132,29.280662536621094
vgg19,4,2,510,67.53243246095398,22.288168153867367,164.72699454077497,24.41120147705078
vgg19,4,2,600,71.47477771077072,25.928167683247807,190.79831882540736,21.08383178710937
vgg19,4,2,690,75.03519456581104,29.27427215743421,215.16754974492804,18.7222957611084
