model,batch_size,mig_slices,frequency,avg_power_draw,dynamic_power_draw,throughput,latency
densenet169,1,1,210,45.23393207340069,1.4434560383129622,29.203279825493933,34.33847427368164
densenet169,1,1,240,45.638434127416716,1.6949949462880483,33.07997279119427,30.41386604309082
densenet169,1,1,330,46.848322175192834,2.478161392809419,44.20434845506271,22.79210090637207
densenet169,1,1,420,48.021872926004555,3.3017973372599627,54.74228127163409,18.35322380065918
densenet169,1,1,510,49.120730164590064,3.8764658575034474,64.56846828852201,15.567779541015623
densenet169,1,1,600,50.19786536836174,4.651255340838821,73.85401434958376,13.630390167236328
densenet169,1,1,690,51.21178518694927,5.450862778572445,82.44673576989824,12.28928565979004
densenet169,1,1,780,52.20829347149337,5.522523281017181,90.55714759632072,12.315988540649414
densenet169,1,1,870,52.97531333643122,5.85736638467683,95.4090480524734,12.277603149414062
densenet169,1,1,960,53.81616018789864,6.05444031034763,93.73130918429268,12.66336441040039
densenet169,1,1,1050,54.30479776332015,4.746034503516242,93.37890516997072,13.735532760620115
densenet169,1,1,1140,57.094063893193464,4.515904226526814,89.65157110322315,12.003421783447266
densenet169,1,1,1230,62.18434779411765,4.902445060784338,93.64273448544336,13.790130615234377
densenet169,1,1,1320,68.49818496134375,4.597716856080616,90.91341614611454,13.454675674438477
densenet169,1,1,1410,79.41302250450875,5.97948571551791,91.24194968752532,12.346982955932615
densenet169,1,2,210,45.74918832040138,1.958712285313655,38.68719836869072,25.90417861938477
densenet169,1,2,240,46.19532504569579,2.2518858645671216,43.74923335521022,23.010730743408203
densenet169,1,2,330,47.58470688192799,3.2145460995445774,58.12897551321424,17.32349395751953
densenet169,1,2,420,48.82655509754451,4.106479508799914,71.43095891767774,14.763355255126951
densenet169,1,2,510,50.03895350025549,4.794689193168871,83.8313819513985,13.679027557373049
densenet169,1,2,600,50.93412343437166,5.387513406848738,91.48746277339254,14.533042907714844
densenet169,1,2,690,51.52923578120564,5.768313372828816,94.36325780324768,11.79790496826172
densenet169,1,2,780,51.749944384976956,5.064174194500767,91.77610948533042,11.723756790161133
densenet169,1,2,870,52.320414340958855,5.202467389204465,93.02650883910792,16.373157501220703
densenet169,1,2,960,53.15395891262826,5.392239035077253,91.7260569793924,15.039682388305664
densenet169,1,2,1050,54.196770600689106,4.638007340885196,91.60389882926756,11.718511581420898
densenet169,1,2,1140,56.75609773167017,4.1779380650035165,92.14487464154104,11.85917854309082
densenet169,1,2,1230,61.38690444480758,4.105001711474266,91.81720851068904,14.583826065063477
densenet169,1,2,1320,68.08125409868762,4.180785993424486,92.0025587009594,11.695623397827148
densenet169,1,2,1410,79.5374951391774,6.103958350186559,96.99199298596606,11.49606704711914
densenet169,1,3,210,46.14177898215466,2.3513029470669364,43.69411410951256,22.940635681152344
densenet169,1,3,240,46.65868420921977,2.715245028091104,49.26793188939679,20.37882804870605
densenet169,1,3,330,48.146746933823046,3.7765861514396306,65.1964636426041,15.450239181518556
densenet169,1,3,420,49.542309405131554,4.822233816386962,79.90150850686649,12.61591911315918
densenet169,1,3,510,50.823696526251815,5.579432219165199,92.9722334066946,12.150049209594728
densenet169,1,3,600,51.27411298689051,5.727502959367589,93.78225201226888,11.14201545715332
densenet169,1,3,690,51.42140403400868,5.660481625631855,89.74682422136755,12.047529220581056
densenet169,1,3,780,52.05056366691561,5.364793476439418,92.81737932701878,11.426687240600586
densenet169,1,3,870,52.5663062039458,5.448359252191409,94.24219909974732,12.165069580078123
densenet169,1,3,960,53.37255886448367,5.610838986932663,91.72475100787568,17.207622528076172
densenet169,1,3,1050,54.69697063396864,5.138207374164729,96.03181280925328,11.535406112670898
densenet169,1,3,1140,56.7185918685192,4.140432201852548,90.46694473414816,12.000322341918944
densenet169,1,3,1230,61.689180613812866,4.407277880479555,93.27830592382516,11.152267456054688
densenet169,1,3,1320,68.16884081899546,4.268372713732326,91.30796980036897,12.174129486083984
densenet169,1,3,1410,79.63298575273073,6.199448963739897,91.22695566460531,11.702775955200195
densenet169,1,4,210,46.46298196569199,2.6725059306042622,47.35577362293512,21.21567726135254
densenet169,1,4,240,46.97977122325307,3.0363320421243998,53.33715064348271,18.892526626586918
densenet169,1,4,330,48.56290236142534,4.192741579041922,70.34161310697172,14.34922218322754
densenet169,1,4,420,50.016232221360234,5.2961566326156415,85.75729052970628,11.82270050048828
densenet169,1,4,510,50.703976177182206,5.459711870095589,89.9961081971863,12.433767318725586
densenet169,1,4,600,51.23836675977654,5.691756732253621,91.66920679312912,11.895418167114258
densenet169,1,4,690,51.78279451285172,6.021872104474896,93.16616802500936,11.37995719909668
