Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
31235773,46144,28074,20480,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA A100 80GB PCIe (0),1,7,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
31283005,177825,28101,64,1,1,512,1,1,25,0.001,0.000,,,,,NVIDIA A100 80GB PCIe (0),1,7,"void at::native::<unnamed>::RowwiseMomentsCUDAKernel<c10::Half>(long, T1, const T1 *, T1 *, T1 *)"
31462078,2976,28117,3,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA A100 80GB PCIe (0),1,7,"void at::native::<unnamed>::ComputeFusedParamsCUDAKernel<c10::Half>(long, long, long, const T1 *, const T1 *, const T1 *, const T1 *, at::AccumulateType<T1, (bool)1>::type *, at::AccumulateType<T1, (bool)1>::type *)"
31466110,46080,28120,20480,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA A100 80GB PCIe (0),1,7,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<void at::native::<unnamed>::GroupNormKernelImplInternal<c10::Half>(const at::Tensor &, const at::Tensor &, const at::Tensor &, long, long, long, long, T1, at::Tensor &, at::Tensor &, at::Tensor &)::[lambda(c10::Half, float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
31513150,29504,28131,20480,1,1,128,1,1,23,0.000,0.000,,,,,NVIDIA A100 80GB PCIe (0),1,7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 5)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
31543550,32800,28149,512,10,2,256,1,1,32,0.002,0.000,,,,,NVIDIA A100 80GB PCIe (0),1,7,"void cudnn::ops::nchwToNhwcKernel<__half, __half, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<T3>, const T1 *, T2 *)"
31577247,10688,28151,1,10,320,256,1,1,32,0.002,0.000,,,,,NVIDIA A100 80GB PCIe (0),1,7,"void cudnn::ops::nchwToNhwcKernel<__half, __half, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<T3>, const T1 *, T2 *)"
31588863,301985,28155,3,256,1,128,1,1,240,0.000,0.066,,,,,NVIDIA A100 80GB PCIe (0),1,7,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel_cudnn_infer
31891840,31840,28157,512,10,2,256,1,1,32,0.002,0.000,,,,,NVIDIA A100 80GB PCIe (0),1,7,"void cudnn::ops::nhwcToNchwKernel<__half, __half, float, (bool)1, (bool)0, (cudnnKernelDataType_t)0>(cudnn::ops::nhwc2nchw_params_t<T3>, const T1 *, T2 *)"
31924768,52928,28165,20480,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA A100 80GB PCIe (0),1,7,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
31978656,38208,28175,20480,1,1,128,1,1,22,0.000,0.000,,,,,NVIDIA A100 80GB PCIe (0),1,7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
32017952,26657,28185,20480,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA A100 80GB PCIe (0),1,7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
32045536,32928,28203,512,10,2,256,1,1,32,0.002,0.000,,,,,NVIDIA A100 80GB PCIe (0),1,7,"void cudnn::ops::nchwToNhwcKernel<__half, __half, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<T3>, const T1 *, T2 *)"
